id,name,nationality,club
231747,K. Mbappé,France,PSG
239085,E. Haaland,Norway,MCI
192985,K. De Bruyne,Belgium,MCI
188545,R. Lewandowski,Poland,FCB
192119,T. Courtois,Belgium,MAD
202126,H. Kane,England,BAY
238794,Vini Jr.,Brazil,MAD
212831,Alisson,Brazil,LIV
231866,Rodri,Spain,MCI
239818,Rúben Dias,Portugal,MCI
192448,M. ter Stegen,Germany,FCB
200145,Casemiro,Brazil,MUN
203376,V. van Dijk,Netherlands,LIV
209331,M. Salah,Egypt,LIV
239053,F. Valverde,Uruguay,MAD
210257,Ederson,Brazil,MCI
212622,J. Kimmich,Germany,BAY
194765,A. Griezmann,France,ATM
200389,J. Oblak,Slovenia,ATM
212198,Bruno Fernandes,Portugal,MUN
218667,Bernardo Silva,Portugal,MCI
222665,M. Ødegaard,Norway,ARS
228702,F. de Jong,Netherlands,FCB
230621,G. Donnarumma,Italy,PSG
231478,L. Martínez,Argentina,INT
235073,G. Kobel,Switzerland,DOR
215698,M. Maignan,France,MIL
207865,Marquinhos,Brazil,PSG
167495,M. Neuer,Germany,BAY
177003,L. Modrić,Croatia,MAD
256790,J. Musiala,Germany,BAY
251854,Pedri,Spain,FCB
241721,Rafael Leão,Portugal,MIL
252371,J. Bellingham,England,MAD
253163,R. Araujo,Uruguay,FCB
246669,B. Saka,England,ARS
235243,M. de Ligt,Netherlands,BAY
240130,Éder Militão,Brazil,MAD
224232,N. Barella,Italy,INT
231281,T. Alexander-Arnold,England,LIV
232411,C. Nkunku,France,CHE
231443,O. Dembélé,France,PSG
182521,T. Kroos,Germany,MAD
186153,W. Szczęsny,Poland,JUV
186942,İ. Gündoğan,Germany,FCB
210514,João Cancelo,Portugal,FCB
216267,A. Robertson,Scotland,LIV
243812,Rodrygo,Brazil,MAD
232656,T. Hernández,France,MIL
237383,A. Bastoni,Italy,INT
237692,P. Foden,England,MCI
241486,J. Koundé,France,FCB
231677,M. Rashford,England,MUN
224458,Diogo Jota,Portugal,LIV
234378,D. Rice,England,ARS
203574,J. Stones,England,MCI
226753,A. Onana,Cameroon,MUN
193041,K. Navas,Costa Rica,PSG
197445,D. Alaba,Austria,MAD
201535,R. Varane,France,MUN
205452,A. Rüdiger,Germany,MAD
206517,J. Grealish,England,MCI
208128,H. Çalhanoğlu,Turkey,INT
209658,L. Goretzka,Germany,BAY
209989,T. Partey,Ghana,ARS
213345,K. Coman,France,BAY
241637,A. Tchouaméni,France,MAD
226754,I. Bennacer,Algeria,MIL
232756,F. Tomori,England,MIL
251566,Gabriel Martinelli,Brazil,ARS
233934,A. Ramsdale,England,ARS
237679,R. Kolo Muani,France,PSG
239301,L. Martínez,Argentina,MUN
239580,Bremer,Brazil,JUV
212190,N. Süle,Germany,DOR
232580,Gabriel,Brazil,ARS
235212,A. Hakimi,Morocco,PSG
237086,Kim Min Jae,Korea Republic,BAY
238074,R. James,England,CHE
212194,J. Brandt,Germany,DOR
220814,L. Hernández,France,PSG
230666,Gabriel Jesus,Brazil,ARS
233419,Raphinha,Brazil,FCB
235805,F. Chiesa,Italy,JUV
241084,L. Díaz,Colombia,LIV
164240,Thiago Silva,Brazil,CHE
177683,Y. Sommer,Switzerland,INT
185122,P. Gulácsi,Hungary,RBL
188377,K. Walker,England,MCI
189509,Thiago,Spain,LIV
189596,T. Müller,Germany,BAY
193747,Koke,Spain,ATM
202556,M. Depay,Netherlands,ATM
206113,S. Gnabry,Germany,BAY
210008,A. Rabiot,France,JUV
212616,R. De Paul,Argentina,ATM
222492,L. Sané,Germany,BAY
226161,Marcos Llorente,Spain,ATM
232363,M. Škriniar,Slovakia,PSG
264240,Gavi,Spain,FCB
243715,W. Saliba,France,ARS
247090,E. Fernández,Argentina,CHE
234396,A. Davies,Canada,BAY
242516,C. Gakpo,Netherlands,LIV
246430,D. Vlahović,Serbia,JUV
247819,N. Schlotterbeck,Germany,DOR
244260,Dani Olmo,Spain,RBL
213661,A. Christensen,Denmark,FCB
216460,J. Giménez,Uruguay,ATM
225375,K. Laimer,Austria,BAY
226851,B. Pavard,France,INT
178603,M. Hummels,Germany,DOR
183898,Á. Di María,Argentina,SLB
188350,M. Reus,Germany,DOR
